scenario_id,fleet_size,epoch_minutes,weights,temperature,method,trips_served,trips_missed,service_rate_pct,total_energy_kWh,avg_energy_per_trip,avg_wait_sec,total_deadhead_km,wall_time_sec
F5_E5_Wene_Tbas,5,5.0,energy_focused,baseline,milp_ml,4009,5464,42.32,440.96,0.11,338.4,55.67,34.54
F5_E5_Wene_Tbas,5,5.0,energy_focused,baseline,milp_fixed,4009,5464,42.32,440.96,0.11,338.4,55.67,34.93
F5_E5_Wene_Tbas,5,5.0,energy_focused,baseline,nearest,1600,7873,16.89,412.18,0.2576,1834.7,419.78,0.77
F5_E5_Wene_Thot,5,5.0,energy_focused,hot_summer,milp_ml,4009,5464,42.32,440.96,0.11,338.4,55.67,34.76
F5_E5_Wene_Thot,5,5.0,energy_focused,hot_summer,milp_fixed,4009,5464,42.32,440.96,0.11,338.4,55.67,35.28
F5_E5_Wene_Thot,5,5.0,energy_focused,hot_summer,nearest,1600,7873,16.89,412.18,0.2576,1834.7,419.78,0.78
F5_E5_Wser_Tcol,5,5.0,service_focused,cold_winter,milp_ml,3986,5487,42.08,445.72,0.1118,384.9,21.97,35.02
F5_E5_Wser_Tcol,5,5.0,service_focused,cold_winter,milp_fixed,3986,5487,42.08,445.72,0.1118,384.9,21.97,35.46
F5_E5_Wser_Tcol,5,5.0,service_focused,cold_winter,nearest,1600,7873,16.89,412.18,0.2576,1834.7,419.78,0.8
F5_E5_Wser_Tbas,5,5.0,service_focused,baseline,milp_ml,3986,5487,42.08,445.72,0.1118,384.9,21.97,34.95
F5_E5_Wser_Tbas,5,5.0,service_focused,baseline,milp_fixed,3986,5487,42.08,445.72,0.1118,384.9,21.97,36.27
F5_E5_Wser_Tbas,5,5.0,service_focused,baseline,nearest,1600,7873,16.89,412.18,0.2576,1834.7,419.78,0.79
F5_E5_Wser_Thot,5,5.0,service_focused,hot_summer,milp_ml,3986,5487,42.08,445.72,0.1118,384.9,21.97,35.83
F5_E5_Wser_Thot,5,5.0,service_focused,hot_summer,milp_fixed,3986,5487,42.08,445.72,0.1118,384.9,21.97,35.66
F5_E5_Wser_Thot,5,5.0,service_focused,hot_summer,nearest,1600,7873,16.89,412.18,0.2576,1834.7,419.78,0.79
F5_E10_Wbal_Tcol,5,10.0,balanced,cold_winter,milp_ml,3010,6463,31.77,304.3,0.1011,421.2,8.59,30.42
F5_E10_Wbal_Tcol,5,10.0,balanced,cold_winter,milp_fixed,3010,6463,31.77,304.3,0.1011,421.2,8.59,30.42
F5_E10_Wbal_Tcol,5,10.0,balanced,cold_winter,nearest,1532,7941,16.17,384.19,0.2508,1931.7,367.79,0.7
F5_E10_Wbal_Tbas,5,10.0,balanced,baseline,milp_ml,3010,6463,31.77,304.3,0.1011,421.2,8.59,30.87
F5_E10_Wbal_Tbas,5,10.0,balanced,baseline,milp_fixed,3010,6463,31.77,304.3,0.1011,421.2,8.59,30.89
F5_E10_Wbal_Tbas,5,10.0,balanced,baseline,nearest,1532,7941,16.17,384.19,0.2508,1931.7,367.79,0.7
F5_E10_Wbal_Thot,5,10.0,balanced,hot_summer,milp_ml,3010,6463,31.77,304.3,0.1011,421.2,8.59,31.55
F5_E10_Wbal_Thot,5,10.0,balanced,hot_summer,milp_fixed,3010,6463,31.77,304.3,0.1011,421.2,8.59,31.73
F5_E10_Wbal_Thot,5,10.0,balanced,hot_summer,nearest,1532,7941,16.17,384.19,0.2508,1931.7,367.79,0.73
F5_E10_Wene_Tcol,5,10.0,energy_focused,cold_winter,milp_ml,3049,6424,32.19,304.01,0.0997,405.8,29.71,32.18
F5_E10_Wene_Tcol,5,10.0,energy_focused,cold_winter,milp_fixed,3049,6424,32.19,304.01,0.0997,405.8,29.71,31.36
F5_E10_Wene_Tcol,5,10.0,energy_focused,cold_winter,nearest,1532,7941,16.17,384.19,0.2508,1931.7,367.79,0.71
F5_E10_Wene_Tbas,5,10.0,energy_focused,baseline,milp_ml,3049,6424,32.19,304.01,0.0997,405.8,29.71,31.49
F5_E10_Wene_Tbas,5,10.0,energy_focused,baseline,milp_fixed,3049,6424,32.19,304.01,0.0997,405.8,29.71,32.32
F5_E10_Wene_Tbas,5,10.0,energy_focused,baseline,nearest,1532,7941,16.17,384.19,0.2508,1931.7,367.79,0.73
F5_E10_Wene_Thot,5,10.0,energy_focused,hot_summer,milp_ml,3049,6424,32.19,304.01,0.0997,405.8,29.71,31.65
F5_E10_Wene_Thot,5,10.0,energy_focused,hot_summer,milp_fixed,3049,6424,32.19,304.01,0.0997,405.8,29.71,31.51
F5_E10_Wene_Thot,5,10.0,energy_focused,hot_summer,nearest,1532,7941,16.17,384.19,0.2508,1931.7,367.79,0.7
F5_E10_Wser_Tcol,5,10.0,service_focused,cold_winter,milp_ml,2998,6475,31.65,304.23,0.1015,442.4,6.95,32.02
F5_E10_Wser_Tcol,5,10.0,service_focused,cold_winter,milp_fixed,2998,6475,31.65,304.23,0.1015,442.4,6.95,32.13
F5_E10_Wser_Tcol,5,10.0,service_focused,cold_winter,nearest,1532,7941,16.17,384.19,0.2508,1931.7,367.79,0.72
F5_E10_Wser_Tbas,5,10.0,service_focused,baseline,milp_ml,2998,6475,31.65,304.23,0.1015,442.4,6.95,32.16
F5_E10_Wser_Tbas,5,10.0,service_focused,baseline,milp_fixed,2998,6475,31.65,304.23,0.1015,442.4,6.95,31.25
F5_E10_Wser_Tbas,5,10.0,service_focused,baseline,nearest,1532,7941,16.17,384.19,0.2508,1931.7,367.79,0.72
F5_E10_Wser_Thot,5,10.0,service_focused,hot_summer,milp_ml,2998,6475,31.65,304.23,0.1015,442.4,6.95,32.36
F5_E10_Wser_Thot,5,10.0,service_focused,hot_summer,milp_fixed,2998,6475,31.65,304.23,0.1015,442.4,6.95,32.31
F5_E10_Wser_Thot,5,10.0,service_focused,hot_summer,nearest,1532,7941,16.17,384.19,0.2508,1931.7,367.79,0.71
F8_E2_Wbal_Tcol,8,2.0,balanced,cold_winter,milp_ml,5899,3574,62.27,802.16,0.136,290.1,117.92,49.4
F8_E2_Wbal_Tcol,8,2.0,balanced,cold_winter,milp_fixed,5899,3574,62.27,802.16,0.136,290.1,117.92,50.14
F8_E2_Wbal_Tcol,8,2.0,balanced,cold_winter,nearest,2780,6693,29.35,737.27,0.2652,1737.1,767.64,1.1
F8_E2_Wbal_Tbas,8,2.0,balanced,baseline,milp_ml,5899,3574,62.27,802.16,0.136,290.1,117.92,49.81
F8_E2_Wbal_Tbas,8,2.0,balanced,baseline,milp_fixed,5899,3574,62.27,802.16,0.136,290.1,117.92,49.27
F8_E2_Wbal_Tbas,8,2.0,balanced,baseline,nearest,2780,6693,29.35,737.27,0.2652,1737.1,767.64,1.12
F8_E2_Wbal_Thot,8,2.0,balanced,hot_summer,milp_ml,5899,3574,62.27,802.16,0.136,290.1,117.92,49.39
F8_E2_Wbal_Thot,8,2.0,balanced,hot_summer,milp_fixed,5899,3574,62.27,802.16,0.136,290.1,117.92,50.34
F8_E2_Wbal_Thot,8,2.0,balanced,hot_summer,nearest,2780,6693,29.35,737.27,0.2652,1737.1,767.64,1.14
F8_E2_Wene_Tcol,8,2.0,energy_focused,cold_winter,milp_ml,5892,3581,62.2,802.22,0.1362,249.3,185.02,48.19
F8_E2_Wene_Tcol,8,2.0,energy_focused,cold_winter,milp_fixed,5892,3581,62.2,802.22,0.1362,249.3,185.02,49.19
F8_E2_Wene_Tcol,8,2.0,energy_focused,cold_winter,nearest,2780,6693,29.35,737.27,0.2652,1737.1,767.64,1.11
F8_E2_Wene_Tbas,8,2.0,energy_focused,baseline,milp_ml,5892,3581,62.2,802.22,0.1362,249.3,185.02,53.35
F8_E2_Wene_Tbas,8,2.0,energy_focused,baseline,milp_fixed,5892,3581,62.2,802.22,0.1362,249.3,185.02,50.09
F8_E2_Wene_Tbas,8,2.0,energy_focused,baseline,nearest,2780,6693,29.35,737.27,0.2652,1737.1,767.64,1.11
F8_E2_Wene_Thot,8,2.0,energy_focused,hot_summer,milp_ml,5892,3581,62.2,802.22,0.1362,249.3,185.02,48.09
F8_E2_Wene_Thot,8,2.0,energy_focused,hot_summer,milp_fixed,5892,3581,62.2,802.22,0.1362,249.3,185.02,48.71
F8_E2_Wene_Thot,8,2.0,energy_focused,hot_summer,nearest,2780,6693,29.35,737.27,0.2652,1737.1,767.64,1.17
F8_E2_Wser_Tcol,8,2.0,service_focused,cold_winter,milp_ml,5881,3592,62.08,802.24,0.1364,293.4,118.03,50.21
F8_E2_Wser_Tcol,8,2.0,service_focused,cold_winter,milp_fixed,5881,3592,62.08,802.24,0.1364,293.4,118.03,48.98
