time_sec,time_str,vehicle_id,status,lat,lon,location,soc,km_today,trips_served,event
25200.0,07:00:00,63,idle,41.83604,-87.625535,The Commons,0.95,0.0,0,initial
25200.0,07:00:00,64,idle,41.833032,-87.624633,Alpha Sigma Phi,0.95,0.0,0,initial
25200.0,07:00:00,65,idle,41.838985,-87.625566,Arthur S. Keating Sports Center,0.95,0.0,0,initial
25200.0,07:00:00,66,idle,41.831886,-87.628445,Chemistry Research Building,0.95,0.0,0,initial
25200.0,07:00:00,67,idle,41.83774,-87.623975,Cunningham Hall,0.95,0.0,0,initial
25200.0,07:00:00,68,idle,41.834344,-87.623795,Farr Hall,0.95,0.0,0,initial
25200.0,07:00:00,69,idle,41.835681,-87.628387,Grover M. Herman Hall,0.95,0.0,0,initial
25200.0,07:00:00,70,idle,41.836861,-87.6283,Kaplan Institute,0.95,0.0,0,initial
25200.0,07:00:00,71,idle,41.834303,-87.629281,Main Building,0.95,0.0,0,initial
25200.0,07:00:00,72,idle,41.835527,-87.624207,McCormick Student Village,0.95,0.0,0,initial
25200.0,07:00:00,73,idle,41.835621,-87.625887,McCormick Tribune Campus Center,0.95,0.0,0,initial
25200.0,07:00:00,74,idle,41.833675,-87.628336,Paul Galvin Library,0.95,0.0,0,initial
25200.0,07:00:00,75,idle,41.835479,-87.627146,Perlstein Hall,0.95,0.0,0,initial
25200.0,07:00:00,76,idle,41.83793,-87.62738,Pritzker Science Center,0.95,0.0,0,initial
25200.0,07:00:00,77,idle,41.833712,-87.626167,Rowe Village Middle,0.95,0.0,0,initial
25200.0,07:00:00,78,idle,41.833199,-87.627273,S.R. Crown Hall,0.95,0.0,0,initial
25200.0,07:00:00,79,idle,41.83604,-87.625535,The Commons,0.95,0.0,0,initial
25200.0,07:00:00,80,idle,41.833032,-87.624633,Alpha Sigma Phi,0.95,0.0,0,initial
25200.0,07:00:00,81,idle,41.838985,-87.625566,Arthur S. Keating Sports Center,0.95,0.0,0,initial
25200.0,07:00:00,82,idle,41.831886,-87.628445,Chemistry Research Building,0.95,0.0,0,initial
25200.0,07:00:00,83,idle,41.83774,-87.623975,Cunningham Hall,0.95,0.0,0,initial
25200.0,07:00:00,84,idle,41.834344,-87.623795,Farr Hall,0.95,0.0,0,initial
25200.0,07:00:00,85,idle,41.835681,-87.628387,Grover M. Herman Hall,0.95,0.0,0,initial
25200.0,07:00:00,86,idle,41.836861,-87.6283,Kaplan Institute,0.95,0.0,0,initial
25200.0,07:00:00,87,idle,41.834303,-87.629281,Main Building,0.95,0.0,0,initial
25200.0,07:00:00,88,idle,41.835527,-87.624207,McCormick Student Village,0.95,0.0,0,initial
25200.0,07:00:00,89,idle,41.835621,-87.625887,McCormick Tribune Campus Center,0.95,0.0,0,initial
25200.0,07:00:00,90,idle,41.833675,-87.628336,Paul Galvin Library,0.95,0.0,0,initial
25200.0,07:00:00,91,idle,41.835479,-87.627146,Perlstein Hall,0.95,0.0,0,initial
25200.0,07:00:00,92,idle,41.83793,-87.62738,Pritzker Science Center,0.95,0.0,0,initial
